Player,Team,Position,Age,draft_year,draft_team,draft_round,round_pick,overall_pick
Cody Ceci,EDM,D,30,2012,OTT,1,15,15
Cody Eakin,BUF,C,33,2009,WSH,3,24,85
Cody Glass,NSH,C,25,2017,VGK,1,6,6
Cole Caufield,MTL,R,23,2019,MTL,1,15,15
Cole Perfetti,WPG,C,22,2020,WPG,1,10,10
Cole Reinhardt,OTT,L,24,2020,OTT,6,26,181
Cole Schwindt,FLA,C,23,2019,FLA,3,19,81
Cole Sillinger,CBJ,C,21,2021,CBJ,1,12,12
Cole Smith,NSH,L,28,-,-,-,-,-
Colin Blackwell,"SEA, TOR",C,31,2011,S.J,7,13,193
Colin Miller,BUF,D,31,2012,L.A,5,30,151
Colin White,OTT,C,27,2015,OTT,1,21,21
Colton Parayko,STL,D,31,2012,STL,3,25,86
Colton Sceviour,EDM,C,35,2007,DAL,4,21,112
Colton Sissons,NSH,C,30,2012,NSH,2,20,50
Colton White,N.J,D,27,2015,N.J,4,6,97
Connor Brown,OTT,R,30,2012,TOR,6,5,156
Connor Bunnaman,PHI,C,26,2016,PHI,4,18,109
Connor Clifton,BOS,D,29,2013,PHX,5,12,133
Connor Dewar,MIN,C,24,2018,MIN,3,30,92
Connor Mackey,CGY,D,27,-,-,-,-,-
Connor McDavid,EDM,C,27,2015,EDM,1,1,1
Connor McMichael,WSH,C,23,2019,WSH,1,25,25
Connor Murphy,CHI,D,31,2011,PHX,1,20,20
Conor Garland,VAN,R,28,2015,ARI,5,2,123
Conor Sheary,WSH,L,32,-,-,-,-,-
Conor Timmins,ARI,D,25,2017,COL,2,1,32
Cooper Marody,EDM,C,27,2015,PHI,6,7,158
Corey Perry,T.B,R,39,2003,ANA,1,28,28
Corey Schueneman,MTL,D,28,-,-,-,-,-
Craig Smith,BOS,C,34,2009,NSH,4,7,98
Curtis Lazar,BOS,C,29,2013,OTT,1,17,17
Dakota Joshua,STL,C,28,2014,TOR,5,8,128
Dakota Mermis,MIN,D,30,-,-,-,-,-
Damon Severson,N.J,D,29,2012,N.J,2,30,60
Dan Renouf,DET,D,30,-,-,-,-,-
Daniel Sprong,"SEA, WSH",R,27,2015,PIT,2,16,46
Daniil Miromanov,VGK,D,26,-,-,-,-,-
Danny DeKeyser,DET,D,34,-,-,-,-,-
Danny O'Regan,ANA,C,30,2012,S.J,5,17,138
Dante Fabbro,NSH,D,25,2016,NSH,1,17,17
Danton Heinen,PIT,L,28,2014,BOS,4,26,116
Darnell Nurse,EDM,D,29,2013,EDM,1,7,7
Darren Helm,COL,C,37,2005,DET,5,7,132
Darren Raddysh,T.B,D,28,-,-,-,-,-
David Gustafsson,WPG,C,24,2018,WPG,2,29,60
David Kampf,TOR,C,29,-,-,-,-,-
David Pastrnak,BOS,R,28,2014,BOS,1,25,25
David Perron,STL,L,36,2007,STL,1,26,26
David Savard,MTL,D,33,2009,CBJ,4,3,94
Dawson Mercer,N.J,C,22,2020,N.J,1,18,18
Dean Kukan,CBJ,D,30,-,-,-,-,-
Declan Chisholm,WPG,D,24,2018,WPG,5,26,150
Denis Gurianov,DAL,R,27,2015,DAL,1,12,12
Dennis Cholowski,"SEA, WSH",D,26,2016,DET,1,20,20
Derek Forbort,BOS,D,32,2010,L.A,1,15,15
Derek Grant,ANA,C,34,2008,OTT,4,28,119
Derek Ryan,EDM,C,37,-,-,-,-,-
Derek Stepan,CAR,C,33,2008,NYR,2,21,51
Derick Brassard,"EDM, PHI",C,36,2006,CBJ,1,6,6
Derrick Pouliot,"SEA, VGK",D,30,2012,PIT,1,8,8
Devin Shore,EDM,C,29,2012,DAL,2,31,61
Devon Toews,COL,D,30,2014,NYI,4,18,108
Dillon Dube,CGY,C,25,2016,CGY,2,26,56
Dillon Heatherington,OTT,D,29,2013,CBJ,2,20,50
Dmitri Samorukov,EDM,D,25,2017,EDM,3,22,84
Dmitrij Jaskin,ARI,R,31,2011,STL,2,11,41
Dmitry Kulikov,MIN,D,33,2009,FLA,1,14,14
Dmitry Orlov,WSH,D,32,2009,WSH,2,25,55
Dominic Toninato,WPG,C,30,2012,TOR,5,5,126
Dominik Kubalik,CHI,L,28,2013,L.A,7,10,191
Dominik Simon,"ANA, PIT",C,29,2015,PIT,5,16,137
Dougie Hamilton,N.J,D,30,2011,BOS,1,9,9
Drake Batherson,OTT,R,26,2017,OTT,4,28,121
Drake Caggiula,BUF,C,29,-,-,-,-,-
Drew Doughty,L.A,D,34,2008,L.A,1,2,2
Drew O'Connor,PIT,L,26,-,-,-,-,-
Dryden Hunt,NYR,L,28,-,-,-,-,-
Duncan Keith,EDM,D,40,2002,CHI,2,24,54
Dustin Brown,L.A,"L, R",39,2003,L.A,1,13,13
Dylan Coghlan,VGK,D,26,-,-,-,-,-
Dylan Cozens,BUF,C,23,2019,BUF,1,7,7
Dylan DeMelo,WPG,D,31,2011,S.J,6,28,179
Dylan Gambrell,OTT,C,27,2016,S.J,2,30,60
Dylan Larkin,DET,C,27,2014,DET,1,15,15
Dylan Samberg,WPG,D,25,2017,WPG,2,12,43
Dylan Sikura,COL,C,29,2014,CHI,6,28,178
Dylan Strome,CHI,C,27,2015,ARI,1,3,3
Dysin Mayo,ARI,D,27,2014,ARI,5,13,133
Eeli Tolvanen,NSH,R,25,2017,NSH,1,30,30
Eetu Luostarinen,FLA,C,25,2017,CAR,2,11,42
Egor Sokolov,OTT,L,24,-,-,-,-,-
Egor Zamula,PHI,D,24,-,-,-,-,-
Elias Lindholm,CGY,C,29,2013,CAR,1,5,5
Elias Pettersson,VAN,C,25,2017,VAN,1,5,5
Emil Bemstrom,CBJ,C,25,2017,CBJ,4,24,117
Eric Robinson,CBJ,L,29,-,-,-,-,-
Erik Brannstrom,OTT,D,24,2017,VGK,1,15,15
Erik Cernak,T.B,D,27,2015,L.A,2,13,43
Erik Gudbranson,CGY,D,32,2010,FLA,1,3,3
Erik Gustafsson,CHI,D,32,2012,EDM,4,2,93
Erik Haula,BOS,L,33,2009,MIN,7,1,182
Erik Johnson,COL,D,36,2006,STL,1,1,1
Erik Karlsson,S.J,D,34,2008,OTT,1,15,15
Esa Lindell,DAL,D,30,2012,DAL,3,13,74
Ethan Bear,CAR,D,26,2015,EDM,5,3,124
Ethan Prow,BUF,D,31,-,-,-,-,-
Evan Bouchard,EDM,D,24,2018,EDM,1,10,10
Evan Rodrigues,PIT,C,30,-,-,-,-,-
Evander Kane,EDM,L,32,2009,ATL,1,4,4
Evgeni Malkin,PIT,C,37,2004,PIT,1,2,2
Evgenii Dadonov,VGK,R,35,2007,FLA,3,10,71
Evgeny Kuznetsov,WSH,C,32,2010,WSH,1,26,26
Evgeny Svechnikov,WPG,L,27,2015,DET,1,19,19
Fabian Zetterlund,N.J,L,24,2017,N.J,3,1,63
Filip Chytil,NYR,C,24,2017,NYR,1,21,21
Filip Forsberg,NSH,L,29,2012,WSH,1,11,11
Filip Hallander,PIT,C,23,2018,PIT,2,27,58
Filip Hronek,DET,D,26,2016,DET,2,23,53
Filip Zadina,DET,R,24,2018,DET,1,6,6
Frank Vatrano,"FLA, NYR",C,30,-,-,-,-,-
Frederick Gaudreau,MIN,C,31,-,-,-,-,-
Frederik Gauthier,N.J,C,29,2013,TOR,1,21,21
Fredrik Claesson,T.B,D,31,2011,OTT,5,5,126
Fredrik Karlstrom,DAL,C,26,2016,DAL,3,29,90
Gabriel Carlsson,CBJ,D,27,2015,CBJ,1,29,29
Gabriel Fortier,T.B,L,24,2018,T.B,2,28,59
Gabriel Landeskog,COL,L,31,2011,COL,1,2,2
Gabriel Vilardi,L.A,C,24,2017,L.A,1,11,11
Garnet Hathaway,WSH,R,32,-,-,-,-,-
Garrett Pilon,WSH,C,26,2016,WSH,3,26,87
Gavin Bayreuther,CBJ,D,30,-,-,-,-,-
Gemel Smith,DET,C,30,2012,DAL,4,13,104
Gerry Mayhew,"ANA, PHI",C,31,-,-,-,-,-
Givani Smith,DET,R,26,2016,DET,2,16,46
Glenn Gawdin,CGY,C,27,2015,STL,4,25,116
Grant Hutton,NYI,D,28,-,-,-,-,-
Greg McKegg,NYR,C,31,2010,TOR,3,2,62
Greg Pateryn,ANA,D,33,2008,TOR,5,7,128
Gregory Hofmann,CBJ,C,31,2011,CAR,4,12,103
