"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"460","Adam Fox","NYR","D","72","1687.9333333333","17","56","25","31","73","59.84","137","12.41","11.01","299","195","103","22","8","19","36","18","18","0","0","22","33","47","37","76","122","0","0","-"
"174","Mika Zibanejad","NYR","C","81","1599.25","26","46","30","16","72","56.25","221","11.76","24.32","414","340","181","68","14","28","30","11","10","0","1","23","46","48","42","62","55","548","564","49.28"
"175","Mark Scheifele","WPG","C","74","1493.7333333333","25","47","32","15","72","66.67","154","16.23","22.94","270","219","192","94","4","17","57","20","16","3","1","31","33","45","55","144","40","603","650","48.12"
"264","Carter Verhaeghe","FLA","C","76","1365.15","34","38","24","14","72","63.72","246","13.82","29","500","338","279","101","14","44","36","18","18","0","0","9","39","39","61","123","20","37","47","44.05"
"770","Lucas Raymond","DET","L","82","1455.7666666667","31","41","24","17","72","72.00","162","19.14","20.15","310","226","187","78","11","25","30","15","15","0","0","40","25","48","61","127","27","4","6","40.00"
"14","Anze Kopitar","L.A","C","81","1592.3166666667","26","44","29","15","70","64.22","133","19.55","16.76","232","182","138","73","3","19","22","7","6","0","1","12","37","49","34","64","65","858","702","55.00"
"644","Noah Dobson","NYI","D","79","1937.1166666667","10","60","35","25","70","56.00","174","5.75","6.86","447","253","106","11","11","31","36","18","18","0","0","7","62","32","72","136","180","0","0","-"
"787","Tim Stützle","OTT","C","75","1583.8833333333","18","52","19","33","70","70.71","192","9.38","23.5","367","270","217","87","12","39","28","14","14","0","0","40","68","48","89","125","41","239","273","46.68"
"75","Ryan O'Reilly","NSH","C","82","1620.8","26","43","15","28","69","59.48","180","14.44","27.66","294","248","228","132","4","35","18","9","9","0","0","13","30","64","23","60","56","828","708","53.91"
"120","Brock Nelson","NYI","C","82","1482.85","34","35","23","12","69","65.71","250","13.60","28","419","332","284","112","13","35","28","14","14","0","0","19","45","39","33","68","47","356","431","45.24"
"188","Jonathan Marchessault","VGK","R","82","1467.3833333333","42","27","17","10","69","68.32","266","15.79","29.8","484","355","237","80","18","46","40","20","20","0","0","11","37","47","93","81","23","6","18","25.00"
