Player,Team,Position,GP,TOI,Age,atoi,total_percentile,Skater,team_gp,team_TOI,team_atoi,adj_toi,QoTF,QoTD,Team 1_x,Team 2_x,Team 3_x,adj_toi 1_x,adj_toi 2_x,adj_toi 3_x,QoCF,QoCD,team_no,team_count,Team 1_y,Team 2_y,Team 3_y,adj_toi 1_y,adj_toi 2_y,adj_toi 3_y,QoCF 1,QoCF 2,QoCF 3,QoTF 1,QoTF 2,QoTF 3,QoCD 1,QoCD 2,QoCD 3,QoTD 1,QoTD 2,QoTD 3,toughest_min,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iHDCF,Rush Attempts,Rebounds Created,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs %,CF,CA,GF,GA,GF%,xGF,xGA,HDGF%,PDO
Ian Cole,CAR,D,75,1286.52,35.0,17.15,65.42,D,75.0,1286.52,17.15,1286.25,64.29,57.14,,,,,,,74.94,47.96,1,CAR,,,,,,,,,,,,,,,,,,,244.32999999999998,0,2,2,0,2,40.00,3,0.00,0.26,21,0,1,4,8,2,18,28,21,-,1181,1056,54,50,51.92,61.22,57.2,48.00,0.996
William Karlsson,VGK,C,67,1224.88,31.0,18.28,58.08,F,67.0,1224.88,18.28,1224.76,76.47,57.14,,,,,,,66.82,41.18,1,VGK,,,,,,,,,,,,,,,,,,,241.61,0,1,0,1,1,50.00,7,0.00,0.28,21,1,2,2,3,2,8,8,4,59.38,1399,1062,63,65,49.22,73.31,58.13,43.08,0.956
Brett Kulak,EDM,D,74,1313.85,30.0,17.75,67.07,D,18.0,307.5,17.08,1263.9199999999998,71.43,50.0,MTL,EDM,0,1329.78,1263.9199999999998,0.0,72.37,47.51,2,Multi,MTL,EDM,0,1329.78,1263.9199999999998,0.0,77.80373831775701,72.36533957845434,0.0,93.75,71.42857142857143,0.0,52.46636771300449,47.51131221719457,0.0,62.5,50.0,0.0,241.31,1,6,4,2,7,53.85,20,5.00,0.77,54,0,2,5,13,6,19,59,39,-,1123,1170,57,69,45.24,52.92,56.72,37.88,0.986
Jack Johnson,COL,D,74,1239.62,37.0,16.75,59.28,D,74.0,1239.62,16.75,1239.5,73.33,55.56,,,,,,,68.6,42.73,1,COL,,,,,,,,,,,,,,,,,,,240.21999999999997,0,0,0,0,0,0.00,4,0.00,0.15,15,0,0,3,3,2,21,16,8,-,1017,1371,44,58,43.14,47.39,67.88,43.86,1.004
Evan Rodrigues,PIT,C,82,1298.63,30.0,15.84,66.32,F,82.0,1298.63,15.84,1298.8799999999999,81.25,33.33,,,,,,,75.47,50.0,1,PIT,,,,,,,,,,,,,,,,,,,240.05,5,6,5,1,11,73.33,36,13.89,2.66,67,14,5,1,8,14,48,55,8,53.16,1476,991,73,56,56.59,77.77,54.69,51.47,0.988
Zach Parise,NYI,L,82,1253.13,39.0,15.28,61.23,F,82.0,1253.13,15.28,1252.96,64.29,57.14,,,,,,,70.66,44.8,1,NYI,,,,,,,,,,,,,,,,,,,236.89,2,1,1,0,3,37.50,19,10.53,3.19,31,13,0,7,2,2,30,23,9,0.00,1152,1295,63,57,52.50,65.0,64.43,51.79,1.012
Trevor van Riemsdyk,WSH,D,72,1257.7,32.0,17.47,61.98,D,72.0,1257.7,17.47,1257.84,82.35,33.33,,,,,,,70.66,46.85,1,WSH,,,,,,,,,,,,,,,,,,,233.19,0,0,0,0,0,-,2,0.00,0.06,5,0,0,1,0,0,1,3,5,-,993,1275,49,70,41.18,46.6,62.97,38.24,0.984
Mike Reilly,BOS,D,70,1325.65,30.0,18.94,68.86,D,70.0,1325.65,18.94,1325.8000000000002,64.29,37.5,,,,,,,78.22,53.15,1,BOS,,,,,,,,,,,,,,,,,,,233.16000000000003,0,0,0,0,0,0.00,6,0.00,0.1,10,0,1,0,4,1,0,10,7,-,1413,1098,53,57,48.18,65.6,51.89,47.37,0.971
Dante Fabbro,NSH,D,66,1256.88,25.0,19.04,61.83,D,66.0,1256.88,19.04,1256.6399999999999,58.33,57.14,,,,,,,71.26,45.95,1,NSH,,,,,,,,,,,,,,,,,,,232.68,0,0,0,0,0,0.00,1,0.00,0.16,5,0,0,0,1,0,0,8,4,-,1170,1230,65,64,50.39,55.18,53.77,54.41,1.005
David Kampf,TOR,C,82,1251.73,29.0,15.26,60.78,F,82.0,1251.73,15.26,1251.32,73.33,44.44,,,,,,,70.09,44.14,1,TOR,,,,,,,,,,,,,,,,,,,232.0,1,0,0,0,1,50.00,10,10.00,0.42,16,2,1,1,2,1,12,16,0,59.57,956,1184,54,65,45.38,47.78,57.73,48.39,0.999
Tony DeAngelo,CAR,D,64,1267.03,28.0,19.8,63.47,D,64.0,1267.03,19.8,1267.2,64.29,42.86,,,,,,,72.6,47.51,1,CAR,,,,,,,,,,,,,,,,,,,227.26,0,2,0,2,2,33.33,15,0.00,0.47,31,0,0,4,3,0,8,14,7,-,1536,1003,105,43,70.95,88.37,56.44,69.23,1.05
Jeremy Lauzon,SEA,D,66,1166.55,27.0,17.68,53.44,D,53.0,944.18,17.81,1175.4599999999998,77.78,50.0,SEA,NSH,0,1175.4599999999998,1129.26,0.0,62.33,37.1,1,Multi,SEA,NSH,0,1175.4599999999998,1129.26,0.0,62.325581395348834,59.112149532710276,0.0,77.77777777777777,33.333333333333336,0.0,37.10407239819005,34.38914027149321,0.0,50.0,42.85714285714286,0.0,227.21,0,0,0,0,0,0.00,3,0.00,0.11,6,0,0,0,1,0,21,13,4,-,870,1193,42,72,36.84,40.98,60.49,37.93,0.98
Artturi Lehkonen,COL,L,74,1117.03,28.0,15.1,49.1,F,16.0,263.03,16.44,1216.5600000000002,73.33,44.44,MTL,COL,0,1089.28,1216.5600000000002,0.0,65.73,41.36,2,Multi,MTL,COL,0,1089.28,1216.5600000000002,0.0,53.62997658079625,65.73426573426573,0.0,56.25,73.33333333333334,0.0,33.035714285714285,41.36363636363636,0.0,37.5,44.44444444444444,0.0,224.86,4,2,1,1,6,66.67,26,15.38,3.16,45,16,1,5,5,3,26,17,7,100.00,1034,1090,50,60,45.45,52.85,56.88,44.26,0.991
Vladimir Tarasenko,STL,R,75,1268.35,32.0,16.91,63.77,F,75.0,1268.35,16.91,1268.25,66.67,37.5,,,,,,,72.77,47.75,1,STL,,,,,,,,,,,,,,,,,,,224.69,3,4,1,3,7,58.33,35,8.57,4.48,62,20,6,9,9,1,43,42,18,-,1286,1152,110,72,60.44,77.28,72.51,62.35,1.041
Luke Schenn,VAN,D,66,1135.5,34.0,17.2,51.05,D,66.0,1135.5,17.2,1135.2,64.29,66.67,,,,,,,59.11,34.39,1,VAN,,,,,,,,,,,,,,,,,,,224.46000000000004,0,0,0,0,0,0.00,5,0.00,0.07,14,0,1,0,3,2,14,7,5,-,934,1116,46,46,50.00,43.16,58.65,51.92,1.012
Carter Verhaeghe,FLA,C,78,1252.13,28.0,16.05,61.08,F,78.0,1252.13,16.05,1251.9,75.0,33.33,,,,,,,70.02,45.5,1,FLA,,,,,,,,,,,,,,,,,,,223.84999999999997,4,6,2,4,10,76.92,44,9.09,4.9,96,25,4,13,8,8,25,45,11,34.38,1469,1000,77,50,60.63,78.4,56.09,55.56,1.01
Zach Whitecloud,VGK,D,59,1109.05,27.0,18.8,48.35,D,59.0,1109.05,18.8,1109.2,70.59,57.14,,,,,,,55.76,33.03,1,VGK,,,,,,,,,,,,,,,,,,,216.51999999999998,0,0,0,0,0,0.00,3,0.00,0.14,14,0,0,1,1,2,8,20,5,-,1007,1075,63,61,50.81,50.61,52.86,52.46,1.003
Dylan Strome,CHI,C,69,1203.4,27.0,17.44,55.84,F,69.0,1203.4,17.44,1203.3600000000001,68.75,42.86,,,,,,,64.42,39.82,1,CHI,,,,,,,,,,,,,,,,,,,215.85000000000002,0,1,0,1,1,50.00,6,0.00,1.3,12,6,0,1,4,1,4,7,2,44.00,1246,1041,74,56,56.92,62.92,53.43,55.36,1.004
Filip Forsberg,NSH,L,69,1248.75,29.0,18.1,60.33,F,69.0,1248.75,18.1,1248.9,58.33,42.86,,,,,,,69.86,44.59,1,NSH,,,,,,,,,,,,,,,,,,,215.64,1,2,1,1,3,75.00,13,7.69,1.26,37,3,1,5,1,3,17,7,2,-,1478,983,116,62,65.17,82.02,53.22,68.89,1.037
Jack Roslovic,CBJ,C,81,1156.78,27.0,14.28,52.69,F,81.0,1156.78,14.28,1156.6799999999998,66.67,50.0,,,,,,,61.03,36.36,1,CBJ,,,,,,,,,,,,,,,,,,,214.06,0,6,1,5,6,100.00,17,0.00,1.22,38,2,2,6,9,2,10,20,8,33.33,1105,1092,64,57,52.89,53.82,55.91,50.00,1.019
Blake Wheeler,WPG,R,65,1270.02,37.0,19.54,64.37,F,65.0,1270.02,19.54,1270.1,73.33,16.67,,,,,,,73.66,48.65,1,WPG,,,,,,,,,,,,,,,,,,,212.31,0,0,0,0,0,-,0,-,0.0,1,0,0,0,0,1,4,0,2,100.00,1374,1114,80,68,54.05,78.25,66.78,47.95,0.997
Valeri Nichushkin,COL,R,62,1179.62,29.0,19.03,54.49,F,62.0,1179.62,19.03,1179.8600000000001,66.67,44.44,,,,,,,63.02,38.18,1,COL,,,,,,,,,,,,,,,,,,,212.31,2,0,0,0,2,28.57,13,15.38,1.67,29,5,1,1,0,0,18,11,7,-,1389,986,91,54,62.76,70.65,53.39,63.77,1.027
Martin Necas,CAR,C,78,1262.0,25.0,16.18,62.57,F,78.0,1262.0,16.18,1262.04,64.29,28.57,,,,,,,71.66,47.06,1,CAR,,,,,,,,,,,,,,,,,,,211.57999999999998,2,3,1,2,5,71.43,19,10.53,1.7,54,6,0,3,8,5,13,17,3,40.00,1313,1048,62,56,52.54,63.43,59.3,48.39,0.997
Radek Faksa,DAL,C,77,1214.22,30.0,15.77,56.89,F,77.0,1214.22,15.77,1214.29,64.29,37.5,,,,,,,65.42,41.36,1,DAL,,,,,,,,,,,,,,,,,,,208.57,1,0,0,0,1,100.00,8,12.50,0.62,18,2,0,1,2,2,26,14,5,47.62,817,1215,27,61,30.68,41.06,58.24,36.73,0.967
Sam Bennett,FLA,C,71,1203.47,27.0,16.95,55.99,F,71.0,1203.47,16.95,1203.45,68.75,33.33,,,,,,,64.4,40.54,1,FLA,,,,,,,,,,,,,,,,,,,207.01999999999998,4,3,2,1,7,70.00,23,17.39,3.56,77,19,2,10,11,6,72,31,4,55.70,1388,936,86,45,65.65,82.11,54.47,68.75,1.026
Mikey Anderson,L.A,D,57,1146.63,25.0,20.12,51.95,D,57.0,1146.63,20.12,1146.8400000000001,61.54,50.0,,,,,,,59.72,35.75,1,L.A,,,,,,,,,,,,,,,,,,,207.01,1,2,0,2,3,42.86,8,12.50,0.4,19,1,0,2,2,0,16,13,7,-,1028,1060,49,63,43.75,50.34,54.43,43.75,0.975
Vladislav Namestnikov,DET,C,75,1098.85,31.0,14.65,47.01,F,60.0,913.93,15.23,1142.25,61.54,50.0,DET,DAL,0,1142.25,924.75,0.0,59.58,35.14,1,Multi,DET,DAL,0,1142.25,924.75,0.0,59.57943925233645,40.28103044496487,0.0,61.53846153846154,28.571428571428573,0.0,35.13513513513514,24.545454545454543,0.0,50.0,37.5,0.0,206.26,1,0,0,0,1,50.00,3,33.33,0.78,5,3,0,0,0,0,7,4,2,37.50,818,1059,47,57,45.19,45.77,54.58,57.69,1.001
Corey Perry,T.B,R,82,1108.15,39.0,13.51,48.2,F,82.0,1108.15,13.51,1107.82,66.67,50.0,,,,,,,55.58,33.03,1,T.B,,,,,,,,,,,,,,,,,,,205.28,0,2,1,1,2,66.67,11,0.00,2.0,24,11,1,3,5,8,17,28,2,-,1076,837,64,37,63.37,61.75,44.3,73.91,1.026
Ryan Nugent-Hopkins,EDM,C,63,1217.05,31.0,19.32,57.34,F,63.0,1217.05,19.32,1217.16,71.43,25.0,,,,,,,65.81,41.89,1,EDM,,,,,,,,,,,,,,,,,,,204.13,2,9,1,8,11,61.11,17,11.76,1.86,40,10,2,3,5,5,32,26,9,37.10,1244,1083,92,57,61.74,75.38,58.06,56.52,1.041
Josh Manson,COL,D,67,1270.13,32.0,18.96,64.52,D,22.0,382.88,17.4,1165.8,60.0,44.44,ANA,COL,0,1321.24,1165.8,0.0,62.33,36.99,2,Multi,ANA,COL,0,1321.24,1165.8,0.0,77.04918032786885,62.325581395348834,0.0,88.88888888888889,60.0,0.0,51.8018018018018,36.986301369863014,0.0,50.0,44.44444444444444,0.0,203.76,1,5,4,1,6,46.15,24,4.17,1.31,62,3,1,8,13,5,36,30,22,-,1055,1276,41,67,37.96,45.58,67.47,39.62,0.976
Carson Soucy,SEA,D,64,1130.23,29.0,17.66,50.45,D,64.0,1130.23,17.66,1130.24,72.22,37.5,,,,,,,58.37,34.68,1,SEA,,,,,,,,,,,,,,,,,,,202.76999999999998,1,2,0,2,3,37.50,3,33.33,0.16,14,0,0,0,9,4,26,22,8,-,944,1007,57,59,49.14,49.2,55.18,47.69,0.997
Nikita Zadorov,CGY,D,74,1251.35,29.0,16.91,60.63,D,74.0,1251.35,16.91,1251.34,68.75,16.67,,,,,,,70.16,45.5,1,CGY,,,,,,,,,,,,,,,,,,,201.07999999999998,4,3,0,3,7,87.50,19,21.05,0.54,46,1,2,4,5,3,40,33,13,-,1320,976,50,44,53.19,57.16,50.21,55.00,0.994
Alexis Lafrenière,NYR,L,79,1105.73,22.0,14.0,47.9,F,79.0,1105.73,14.0,1106.0,62.5,42.86,,,,,,,55.5,33.33,1,NYR,,,,,,,,,,,,,,,,,,,194.19,7,3,1,2,10,76.92,35,20.00,3.53,66,13,1,2,2,10,39,29,6,40.00,1003,929,49,40,55.06,50.88,42.45,57.38,1.011
Luke Glendening,DAL,C,82,1157.48,35.0,14.12,52.84,F,82.0,1157.48,14.12,1157.84,57.14,37.5,,,,,,,61.68,36.82,1,DAL,,,,,,,,,,,,,,,,,,,193.14,0,0,0,0,0,0.00,3,0.00,0.84,6,4,0,1,0,0,16,5,0,63.64,753,1194,23,63,26.74,36.61,55.27,31.11,0.957
Yakov Trenin,NSH,C,80,1173.42,27.0,14.67,53.74,F,80.0,1173.42,14.67,1173.6,50.0,42.86,,,,,,,62.62,37.39,1,NSH,,,,,,,,,,,,,,,,,,,192.87,1,0,0,0,1,33.33,8,12.50,0.94,23,5,0,2,1,3,28,16,2,45.31,928,1143,39,41,48.75,45.15,60.19,54.35,1.014
Viktor Arvidsson,L.A,L,66,1120.63,31.0,16.98,49.55,F,66.0,1120.63,16.98,1120.68,61.54,37.5,,,,,,,57.38,33.94,1,L.A,,,,,,,,,,,,,,,,,,,190.35999999999999,0,3,2,1,3,100.00,10,0.00,0.81,21,3,0,2,3,5,12,7,5,50.00,1425,893,68,52,56.67,79.89,48.02,56.94,0.98
Pavel Zacha,N.J,C,70,1178.88,27.0,16.84,54.34,F,70.0,1178.88,16.84,1178.8,71.43,16.67,,,,,,,62.62,38.74,1,N.J,,,,,,,,,,,,,,,,,,,189.46000000000004,1,5,3,2,6,75.00,14,7.14,1.43,23,6,0,4,7,2,24,17,1,42.73,1261,953,60,71,45.80,62.44,55.24,46.67,0.957
Anthony Duclair,FLA,L,74,1109.75,28.0,15.0,48.5,F,74.0,1109.75,15.0,1110.0,62.5,33.33,,,,,,,56.21,34.23,1,FLA,,,,,,,,,,,,,,,,,,,186.26999999999998,0,2,2,0,2,100.00,4,0.00,0.79,11,5,0,1,1,0,6,11,5,0.00,1327,887,102,46,68.92,78.03,53.16,73.75,1.045
Erik Cernak,T.B,D,55,1053.42,27.0,19.15,44.46,D,55.0,1053.42,19.15,1053.25,53.33,50.0,,,,,,,51.63,31.22,1,T.B,,,,,,,,,,,,,,,,,,,186.18,0,1,0,1,1,33.33,2,0.00,0.07,11,0,0,1,3,1,18,16,6,-,867,1017,43,54,44.33,44.75,53.24,47.37,0.992
Adam Lowry,WPG,"C, L",79,1222.95,31.0,15.48,57.93,F,79.0,1222.95,15.48,1222.92,60.0,16.67,,,,,,,67.13,42.34,1,WPG,,,,,,,,,,,,,,,,,,,186.14,2,0,0,0,2,66.67,4,50.00,0.99,12,6,1,1,1,0,22,8,3,63.77,1013,1274,40,63,38.83,57.1,68.17,37.50,0.986
Jake DeBrusk,BOS,L,77,1157.92,27.0,15.04,52.99,F,77.0,1157.92,15.04,1158.08,57.14,25.0,,,,,,,61.83,37.39,1,BOS,,,,,,,,,,,,,,,,,,,181.36,1,3,3,0,4,100.00,16,6.25,1.37,27,9,4,3,1,1,47,27,8,0.00,1236,932,56,45,55.45,61.88,46.62,50.94,0.991
Ryan Pulock,NYI,D,56,1183.58,29.0,21.14,54.79,D,56.0,1183.58,21.14,1183.8400000000001,50.0,28.57,,,,,,,63.38,39.37,1,NYI,,,,,,,,,,,,,,,,,,,181.32,0,3,0,3,3,60.00,2,0.00,0.07,10,0,2,3,4,1,11,5,9,-,1030,1205,62,57,52.10,55.53,59.17,57.14,1.02
Calle Jarnkrok,SEA,C,66,1058.42,32.0,16.04,45.06,F,49.0,823.27,16.8,1108.8,66.67,25.0,SEA,CGY,0,1108.8,912.78,0.0,55.94,33.33,1,Multi,SEA,CGY,0,1108.8,912.78,0.0,55.94405594405594,39.018691588785046,0.0,66.66666666666666,31.25,0.0,33.333333333333336,25.225225225225227,0.0,25.0,0.0,0.0,180.94,0,0,0,0,0,-,7,0.00,0.74,19,2,0,2,1,0,7,8,3,55.56,1016,919,49,64,43.36,48.75,52.41,43.18,0.965
Artturi Lehkonen,MTL,L,74,1117.03,28.0,15.1,49.1,F,58.0,854.0,14.72,1089.28,56.25,37.5,MTL,COL,0,1089.28,1216.5600000000002,0.0,53.63,33.04,1,Multi,MTL,COL,0,1089.28,1216.5600000000002,0.0,53.62997658079625,65.73426573426573,0.0,56.25,73.33333333333334,0.0,33.035714285714285,41.36363636363636,0.0,37.5,44.44444444444444,0.0,180.42000000000002,4,2,1,1,6,66.67,26,15.38,3.16,45,16,1,5,5,3,26,17,7,100.00,1034,1090,50,60,45.45,52.85,56.88,44.26,0.991
Adam Henrique,ANA,C,58,1010.33,34.0,17.42,40.72,F,58.0,1010.33,17.42,1010.3600000000001,66.67,37.5,,,,,,,45.9,29.6,1,ANA,,,,,,,,,,,,,,,,,,,179.67000000000002,3,3,2,1,6,85.71,9,33.33,1.11,13,7,1,1,6,7,45,18,10,47.92,1067,879,71,54,56.80,59.19,47.08,57.14,1.014
Keegan Kolesar,VGK,R,77,975.07,27.0,12.66,38.32,F,77.0,975.07,12.66,974.82,64.71,42.86,,,,,,,42.82,28.05,1,VGK,,,,,,,,,,,,,,,,,,,178.44,0,0,0,0,0,0.00,5,0.00,0.26,7,2,1,1,0,0,20,8,3,100.00,882,909,38,48,44.19,47.37,48.09,45.10,0.982
Pierre Engvall,TOR,L,78,1035.97,28.0,13.28,43.56,F,78.0,1035.97,13.28,1035.84,53.33,44.44,,,,,,,50.47,29.73,1,TOR,,,,,,,,,,,,,,,,,,,177.97,1,0,0,0,1,50.00,9,11.11,0.95,14,6,2,3,5,1,4,3,1,42.86,984,856,45,36,55.56,50.7,41.06,50.00,1.008
Vasily Podkolzin,VAN,R,79,1010.55,22.0,12.79,41.02,F,79.0,1010.55,12.79,1010.41,57.14,44.44,,,,,,,46.73,29.41,1,VAN,,,,,,,,,,,,,,,,,,,177.72,0,0,0,0,0,0.00,2,0.00,0.25,4,1,0,0,0,1,6,2,1,-,961,912,46,33,58.23,42.98,41.35,52.50,1.019
Andrew Cogliano,S.J,C,74,937.57,37.0,12.67,35.18,F,56.0,739.27,13.2,976.8,60.0,44.44,S.J,COL,0,976.8,815.48,0.0,43.43,27.73,1,Multi,S.J,COL,0,976.8,815.48,0.0,43.42723004694836,30.3030303030303,0.0,60.0,20.0,0.0,27.727272727272727,19.545454545454543,0.0,44.44444444444444,33.33333333333333,0.0,175.6,0,4,3,1,4,100.00,3,0.00,0.16,6,1,1,1,1,2,5,7,5,40.00,648,994,28,57,32.94,29.49,47.07,31.82,0.967
Sonny Milano,ANA,L,66,1008.35,28.0,15.28,40.57,F,66.0,1008.35,15.28,1008.4799999999999,61.11,37.5,,,,,,,45.9,29.6,1,ANA,,,,,,,,,,,,,,,,,,,174.11,0,0,0,0,0,0.00,2,0.00,0.14,3,1,0,1,2,0,2,11,1,0.00,1052,801,59,43,57.84,54.03,40.42,55.10,1.008
Brandon Hagel,T.B,L,77,1259.47,25.0,16.36,62.28,F,22.0,298.93,13.59,1046.43,53.33,37.5,CHI,T.B,0,1344.42,1046.43,0.0,51.28,30.32,2,Multi,CHI,T.B,0,1344.42,1046.43,0.0,80.18648018648018,51.28205128205128,0.0,87.5,53.333333333333336,0.0,53.39366515837104,30.316742081447963,0.0,71.42857142857143,37.5,0.0,172.43,1,1,0,1,2,100.00,5,20.00,0.55,13,2,1,0,4,4,10,19,3,33.33,1196,1175,71,80,47.02,59.79,65.16,50.63,0.987
Nicolas Hague,VGK,D,52,969.83,25.0,18.65,37.72,D,52.0,969.83,18.65,969.8,58.82,42.86,,,,,,,42.35,27.6,1,VGK,,,,,,,,,,,,,,,,,,,171.63,0,0,0,0,0,-,1,0.00,0.02,3,0,0,1,0,0,4,4,0,-,943,949,53,56,48.62,46.6,48.2,46.55,0.982
Eetu Luostarinen,FLA,C,78,1047.62,25.0,13.43,43.86,F,78.0,1047.62,13.43,1047.54,56.25,33.33,,,,,,,50.82,30.18,1,FLA,,,,,,,,,,,,,,,,,,,170.57999999999998,1,4,2,2,5,55.56,21,4.76,2.5,53,12,4,5,7,13,52,64,8,56.25,977,1010,41,53,43.62,48.23,53.65,44.26,0.988
Jeremy Lauzon,NSH,D,66,1166.55,27.0,17.68,53.44,D,13.0,222.37,17.11,1129.26,33.33,42.86,SEA,NSH,0,1175.4599999999998,1129.26,0.0,59.11,34.39,2,Multi,SEA,NSH,0,1175.4599999999998,1129.26,0.0,62.325581395348834,59.112149532710276,0.0,77.77777777777777,33.333333333333336,0.0,37.10407239819005,34.38914027149321,0.0,50.0,42.85714285714286,0.0,169.69,0,0,0,0,0,0.00,3,0.00,0.11,6,0,0,0,1,0,21,13,4,-,870,1193,42,72,36.84,40.98,60.49,37.93,0.98
Nino Niederreiter,CAR,R,75,1112.98,31.0,14.84,48.95,F,75.0,1112.98,14.84,1113.0,50.0,28.57,,,,,,,57.14,33.94,1,CAR,,,,,,,,,,,,,,,,,,,169.64999999999998,0,2,0,2,2,100.00,8,0.00,0.96,15,6,1,3,1,2,12,6,3,0.00,1226,816,76,37,67.26,70.78,42.55,69.57,1.033
Max Domi,CBJ,C,72,939.2,29.0,13.04,35.48,F,53.0,711.37,13.42,966.24,46.67,50.0,CBJ,CAR,0,966.24,863.28,0.0,42.35,26.82,1,Multi,CBJ,CAR,0,966.24,863.28,0.0,42.35294117647059,34.74178403755869,0.0,46.66666666666667,35.714285714285715,0.0,26.818181818181817,23.076923076923077,0.0,50.0,14.285714285714286,0.0,165.84,1,3,1,2,4,80.00,17,5.88,1.62,30,9,1,6,2,4,5,8,6,67.50,968,851,57,41,58.16,48.72,43.73,62.50,1.031
Timothy Liljegren,TOR,D,61,1000.58,25.0,16.4,39.37,D,61.0,1000.58,16.4,1000.3999999999999,46.67,44.44,,,,,,,45.09,27.93,1,TOR,,,,,,,,,,,,,,,,,,,164.13,0,1,1,0,1,50.00,0,-,0.03,6,0,1,1,3,1,11,29,5,-,1011,875,62,52,54.39,52.8,38.15,56.67,1.001
Warren Foegele,EDM,L,82,1034.17,28.0,12.61,43.26,F,82.0,1034.17,12.61,1034.02,57.14,25.0,,,,,,,49.88,30.63,1,EDM,,,,,,,,,,,,,,,,,,,162.65,1,4,1,3,5,62.50,27,3.70,2.37,51,13,3,3,11,11,36,36,6,0.00,1051,851,43,50,46.24,50.26,42.43,52.73,0.969
Noah Gregor,S.J,C,63,940.95,25.0,14.94,35.63,F,63.0,940.95,14.94,941.2199999999999,53.33,44.44,,,,,,,40.05,24.55,1,S.J,,,,,,,,,,,,,,,,,,,162.37,0,0,0,0,0,-,1,0.00,0.18,5,1,0,0,2,0,7,3,1,-,834,957,32,50,39.02,38.41,43.59,27.27,0.966
Anton Lundell,FLA,C,65,1022.92,22.0,15.74,42.51,F,65.0,1022.92,15.74,1023.1,50.0,33.33,,,,,,,48.71,30.18,1,FLA,,,,,,,,,,,,,,,,,,,162.21999999999997,3,9,6,3,12,80.00,22,13.64,2.81,66,11,0,10,13,10,38,30,12,55.41,1011,992,76,62,55.07,54.14,53.96,50.75,1.029
Ross Colton,T.B,C,79,1010.47,27.0,12.79,40.87,F,79.0,1010.47,12.79,1010.41,46.67,37.5,,,,,,,46.98,29.86,1,T.B,,,,,,,,,,,,,,,,,,,161.01,1,3,1,2,4,80.00,14,7.14,2.46,33,12,0,4,2,2,42,5,10,48.11,1000,810,48,37,56.47,53.15,37.68,62.50,1.002
Erik Gustafsson,CHI,D,59,956.87,32.0,16.22,36.53,D,59.0,956.87,16.22,956.9799999999999,50.0,42.86,,,,,,,41.63,26.24,1,CHI,,,,,,,,,,,,,,,,,,,160.73000000000002,0,2,1,1,2,28.57,11,0.00,0.4,40,0,0,2,13,3,30,24,16,-,954,787,50,44,53.19,43.62,40.65,50.00,0.996
Craig Smith,BOS,C,74,1067.58,34.0,14.43,45.51,F,74.0,1067.58,14.43,1067.82,50.0,25.0,,,,,,,52.93,32.43,1,BOS,,,,,,,,,,,,,,,,,,,160.36,0,2,2,0,2,100.00,14,0.00,0.93,35,4,2,2,5,9,25,15,9,44.44,1179,847,55,43,56.12,54.57,37.86,46.15,0.987
Drew Doughty,L.A,D,39,1004.05,34.0,25.74,39.97,D,39.0,1004.05,25.74,1003.8599999999999,46.15,37.5,,,,,,,45.2,29.86,1,L.A,,,,,,,,,,,,,,,,,,,158.71,2,1,1,0,3,60.00,6,33.33,0.3,16,1,1,2,3,0,7,29,9,-,1088,768,59,58,50.43,57.03,48.27,43.55,0.963
Mattias Janmark,VGK,C,67,961.07,31.0,14.34,36.98,F,67.0,961.07,14.34,960.78,58.82,28.57,,,,,,,41.65,26.7,1,VGK,,,,,,,,,,,,,,,,,,,155.73999999999998,1,3,2,1,4,66.67,16,6.25,2.19,30,14,2,3,6,2,20,31,3,0.00,839,972,42,47,47.19,43.55,47.32,44.68,1.0
Nikolaj Ehlers,WPG,L,62,1120.27,28.0,18.07,49.4,F,62.0,1120.27,18.07,1120.34,46.67,16.67,,,,,,,57.58,34.23,1,WPG,,,,,,,,,,,,,,,,,,,155.15000000000003,0,2,1,1,2,100.00,11,0.00,0.86,26,4,1,2,2,3,11,8,2,-,1323,949,79,46,63.20,73.23,57.86,55.71,1.022
Tyler Toffoli,CGY,"C, R",74,1206.47,32.0,16.3,56.29,F,37.0,558.2,15.09,1116.66,62.5,0.0,CGY,MTL,0,1116.66,1296.48,0.0,57.24,34.68,1,Multi,CGY,MTL,0,1116.66,1296.48,0.0,57.242990654205606,74.47306791569088,0.0,62.5,93.75,0.0,34.68468468468468,49.10714285714286,0.0,0.0,50.0,0.0,154.42000000000002,2,0,0,0,2,100.00,8,25.00,0.62,17,4,0,2,1,0,8,9,2,80.00,1324,1050,75,63,54.35,76.15,55.98,50.75,0.997
Pat Maroon,T.B,L,81,1003.37,36.0,12.39,39.82,F,81.0,1003.37,12.39,1003.59,40.0,37.5,,,,,,,45.58,29.41,1,T.B,,,,,,,,,,,,,,,,,,,152.49,0,2,1,1,2,100.00,5,0.00,0.87,13,3,0,2,6,3,30,13,2,-,892,754,49,20,71.01,47.81,35.08,68.75,1.049
