game_id,season,gameType,awayTeam.id,awayTeam.abbrev,homeTeam.id,homeTeam.abbrev,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
2024020591,20242025,2,8,MTL,54,VGK,Vegas,Montréal,3,2,8481523,8478470,OFF,https://api-web.nhle.com/v1/gamecenter/2024020591/play-by-play,2024-12-31 20:00:00+00:00,8:00 pm,2024-12-31
2024020592,20242025,2,19,STL,16,CHI,Chicago,St. Louis,6,2,8475753,8476412,OFF,https://api-web.nhle.com/v1/gamecenter/2024020592/play-by-play,2024-12-31 22:00:00+00:00,10:00 pm,2024-12-31
2024020593,20242025,2,5,PIT,17,DET,Detroit,Pittsburgh,2,4,8477456,8479312,OFF,https://api-web.nhle.com/v1/gamecenter/2024020593/play-by-play,2025-01-01 01:00:00+00:00,1:00 am,2025-01-01
2024020594,20242025,2,12,CAR,29,CBJ,Columbus,Carolina,3,4,,8478007,OFF,https://api-web.nhle.com/v1/gamecenter/2024020594/play-by-play,2025-01-01 01:00:00+00:00,1:00 am,2025-01-01
2024020595,20242025,2,7,BUF,25,DAL,Dallas,Buffalo,2,4,8482740,8479193,OFF,https://api-web.nhle.com/v1/gamecenter/2024020595/play-by-play,2025-01-01 01:00:00+00:00,1:00 am,2025-01-01
2024020596,20242025,2,18,NSH,30,MIN,Minnesota,Nashville,3,5,8480990,8479406,OFF,https://api-web.nhle.com/v1/gamecenter/2024020596/play-by-play,2025-01-01 01:00:00+00:00,1:00 am,2025-01-01
2024020597,20242025,2,52,WPG,21,COL,Colorado,Winnipeg,2,5,8479999,8478406,OFF,https://api-web.nhle.com/v1/gamecenter/2024020597/play-by-play,2025-01-01 01:00:00+00:00,1:00 am,2025-01-01
2024020598,20242025,2,1,NJD,24,ANA,Anaheim,New Jersey,2,3,8476458,8480843,OFF,https://api-web.nhle.com/v1/gamecenter/2024020598/play-by-play,2025-01-01 01:00:00+00:00,1:00 am,2025-01-01
2024020599,20242025,2,4,PHI,28,SJS,San Jose,Philadelphia,4,0,8476372,8481035,OFF,https://api-web.nhle.com/v1/gamecenter/2024020599/play-by-play,2025-01-01 01:00:00+00:00,1:00 am,2025-01-01
2024020600,20242025,2,23,VAN,20,CGY,Calgary,Vancouver,1,3,8475172,8481692,OFF,https://api-web.nhle.com/v1/gamecenter/2024020600/play-by-play,2025-01-01 02:00:00+00:00,2:00 am,2025-01-01
2024020601,20242025,2,59,UTA,22,EDM,Edmonton,Utah,1,4,8476454,8479973,OFF,https://api-web.nhle.com/v1/gamecenter/2024020601/play-by-play,2025-01-01 02:00:00+00:00,2:00 am,2025-01-01
2024020602,20242025,2,1,NJD,26,LAK,Los Angeles,New Jersey,0,3,8481732,8475311,OFF,https://api-web.nhle.com/v1/gamecenter/2024020602/play-by-play,2025-01-01 23:00:00+00:00,11:00 pm,2025-01-01
2024020603,20242025,2,12,CAR,13,FLA,Florida,Carolina,3,1,8476958,8481611,OFF,https://api-web.nhle.com/v1/gamecenter/2024020603/play-by-play,2025-01-03 00:00:00+00:00,12:00 am,2025-01-03
2024020604,20242025,2,6,BOS,3,NYR,New York,Boston,1,2,8482132,8471734,OFF,https://api-web.nhle.com/v1/gamecenter/2024020604/play-by-play,2025-01-03 00:00:00+00:00,12:00 am,2025-01-03
2024020605,20242025,2,30,MIN,15,WSH,Washington,Minnesota,4,3,,8470594,OFF,https://api-web.nhle.com/v1/gamecenter/2024020605/play-by-play,2025-01-03 00:00:00+00:00,12:00 am,2025-01-03
2024020606,20242025,2,17,DET,29,CBJ,Columbus,Detroit,5,4,8481013,8475660,OFF,https://api-web.nhle.com/v1/gamecenter/2024020606/play-by-play,2025-01-03 00:00:00+00:00,12:00 am,2025-01-03
2024020607,20242025,2,10,TOR,2,NYI,New York,Toronto,2,1,8482259,8479361,OFF,https://api-web.nhle.com/v1/gamecenter/2024020607/play-by-play,2025-01-03 00:30:00+00:00,12:30 am,2025-01-03
2024020608,20242025,2,9,OTT,25,DAL,Dallas,Ottawa,2,4,8478449,8479979,OFF,https://api-web.nhle.com/v1/gamecenter/2024020608/play-by-play,2025-01-03 01:00:00+00:00,1:00 am,2025-01-03
2024020609,20242025,2,24,ANA,52,WPG,Winnipeg,Anaheim,4,3,8478873,8476434,OFF,https://api-web.nhle.com/v1/gamecenter/2024020609/play-by-play,2025-01-03 01:00:00+00:00,1:00 am,2025-01-03
2024020610,20242025,2,7,BUF,21,COL,Colorado,Buffalo,5,6,8478038,8478406,OFF,https://api-web.nhle.com/v1/gamecenter/2024020610/play-by-play,2025-01-03 02:00:00+00:00,2:00 am,2025-01-03
2024020611,20242025,2,59,UTA,20,CGY,Calgary,Utah,5,3,8478474,8478872,OFF,https://api-web.nhle.com/v1/gamecenter/2024020611/play-by-play,2025-01-03 02:00:00+00:00,2:00 am,2025-01-03
2024020612,20242025,2,4,PHI,54,VGK,Vegas,Philadelphia,2,5,8481604,8478492,OFF,https://api-web.nhle.com/v1/gamecenter/2024020612/play-by-play,2025-01-03 03:00:00+00:00,3:00 am,2025-01-03
2024020613,20242025,2,23,VAN,55,SEA,Seattle,Vancouver,4,3,,8480947,OFF,https://api-web.nhle.com/v1/gamecenter/2024020613/play-by-play,2025-01-03 03:00:00+00:00,3:00 am,2025-01-03
2024020614,20242025,2,14,TBL,28,SJS,San Jose,Tampa Bay,1,2,8479983,8482137,OFF,https://api-web.nhle.com/v1/gamecenter/2024020614/play-by-play,2025-01-03 03:30:00+00:00,3:30 am,2025-01-03
2024020615,20242025,2,5,PIT,13,FLA,Florida,Pittsburgh,2,3,,8481519,OFF,https://api-web.nhle.com/v1/gamecenter/2024020615/play-by-play,2025-01-04 00:00:00+00:00,12:00 am,2025-01-04
2024020616,20242025,2,8,MTL,16,CHI,Chicago,Montréal,2,4,8474034,8482821,OFF,https://api-web.nhle.com/v1/gamecenter/2024020616/play-by-play,2025-01-04 01:00:00+00:00,1:00 am,2025-01-04
2024020617,20242025,2,9,OTT,19,STL,St. Louis,Ottawa,0,4,8475170,8476412,OFF,https://api-web.nhle.com/v1/gamecenter/2024020617/play-by-play,2025-01-04 01:00:00+00:00,1:00 am,2025-01-04
2024020618,20242025,2,24,ANA,22,EDM,Edmonton,Anaheim,2,3,8477934,8479973,OFF,https://api-web.nhle.com/v1/gamecenter/2024020618/play-by-play,2025-01-04 02:00:00+00:00,2:00 am,2025-01-04
2024020619,20242025,2,18,NSH,23,VAN,Vancouver,Nashville,3,0,8474564,8477424,OFF,https://api-web.nhle.com/v1/gamecenter/2024020619/play-by-play,2025-01-04 03:00:00+00:00,3:00 am,2025-01-04
2024020620,20242025,2,3,NYR,15,WSH,Washington,New York,4,7,8471214,8480313,OFF,https://api-web.nhle.com/v1/gamecenter/2024020620/play-by-play,2025-01-04 17:00:00+00:00,5:00 pm,2025-01-04
2024020621,20242025,2,17,DET,52,WPG,Winnipeg,Detroit,4,2,8479337,8479312,OFF,https://api-web.nhle.com/v1/gamecenter/2024020621/play-by-play,2025-01-05 00:00:00+00:00,12:00 am,2025-01-05
